,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_log_phase,1.219,0.147,0.945,1.492,0.005,0.003,1023.0,1619.0,1.0
Intercept,0.703,0.127,0.459,0.941,0.003,0.002,1389.0,1751.0,1.0
sigma_log_phase,0.678,0.137,0.436,0.938,0.004,0.003,1368.0,1944.0,1.0
sigma_level,0.35,0.011,0.328,0.371,0.0,0.0,1295.0,1698.0,1.0
alpha,79.704,14.515,54.566,107.809,0.256,0.279,3331.0,2378.0,1.0
mean_phase_effect,3.42,0.498,2.574,4.445,0.016,0.009,1023.0,1619.0,1.0
