,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
innovations[2101],0.135,0.987,-1.823,1.947,0.017,0.019,3348.0,2019.0,1.0
innovations[2102],0.136,1.004,-1.774,2.0,0.017,0.02,3577.0,2046.0,1.0
innovations[2103],0.155,0.99,-1.734,1.901,0.014,0.019,4865.0,1926.0,1.0
innovations[2104],0.169,0.982,-1.651,1.986,0.015,0.019,4337.0,2317.0,1.0
innovations[2105],0.196,1.025,-1.622,2.231,0.016,0.023,3966.0,1861.0,1.0
innovations[2106],0.231,0.976,-1.618,1.996,0.016,0.021,3705.0,1813.0,1.0
innovations[2107],0.214,0.96,-1.476,2.166,0.017,0.018,3146.0,2285.0,1.0
innovations[2108],0.189,0.963,-1.704,1.902,0.014,0.018,4493.0,2294.0,1.0
innovations[2109],0.236,0.961,-1.542,2.12,0.015,0.02,4007.0,1765.0,1.0
innovations[2110],0.258,0.986,-1.493,2.215,0.015,0.021,4098.0,1979.0,1.0
innovations[2111],0.274,0.973,-1.523,2.184,0.015,0.021,4027.0,1751.0,1.0
innovations[2112],0.279,0.985,-1.677,2.075,0.015,0.021,4334.0,2094.0,1.0
innovations[2113],0.299,0.994,-1.549,2.121,0.015,0.02,4156.0,2375.0,1.0
innovations[2114],0.322,0.979,-1.477,2.168,0.018,0.02,3115.0,1995.0,1.0
innovations[2115],0.388,0.968,-1.489,2.099,0.016,0.017,3849.0,2341.0,1.0
innovations[2116],0.394,0.973,-1.332,2.246,0.016,0.018,3695.0,1939.0,1.0
innovations[2117],0.431,0.97,-1.341,2.275,0.015,0.018,4115.0,2348.0,1.0
innovations[2118],0.477,0.977,-1.436,2.277,0.015,0.022,4282.0,2234.0,1.0
innovations[2119],0.508,0.953,-1.224,2.334,0.014,0.017,4471.0,2289.0,1.0
innovations[2120],0.57,0.974,-1.26,2.348,0.016,0.018,3824.0,1959.0,1.0
innovations[2121],-0.058,0.953,-1.872,1.716,0.014,0.019,4639.0,2467.0,1.0
innovations[2122],-0.35,0.939,-2.044,1.463,0.015,0.017,3773.0,2394.0,1.0
innovations[2123],-0.279,0.949,-2.127,1.408,0.017,0.019,3007.0,2013.0,1.0
innovations[2124],-0.247,0.993,-2.057,1.708,0.016,0.019,3711.0,2050.0,1.0
innovations[2125],-0.214,0.992,-2.069,1.537,0.015,0.018,4511.0,2458.0,1.0
innovations[2126],-0.134,0.989,-1.918,1.718,0.016,0.02,3866.0,2191.0,1.0
innovations[2127],-0.08,0.944,-1.971,1.621,0.014,0.017,4464.0,2415.0,1.0
innovations[2128],-0.068,0.97,-1.901,1.765,0.015,0.017,4105.0,2244.0,1.0
innovations[2129],-0.042,0.972,-1.805,1.828,0.016,0.018,3896.0,1820.0,1.0
innovations[2130],0.027,1.0,-1.817,1.915,0.016,0.019,3858.0,2066.0,1.0
innovations[2131],0.034,0.959,-1.734,1.868,0.017,0.016,3136.0,2356.0,1.0
innovations[2132],0.124,0.972,-1.777,1.91,0.016,0.021,3858.0,2313.0,1.0
innovations[2133],0.119,0.947,-1.663,1.848,0.016,0.02,3618.0,2136.0,1.0
innovations[2134],0.19,0.947,-1.564,2.032,0.014,0.018,4322.0,2144.0,1.0
innovations[2135],0.246,0.962,-1.498,2.081,0.015,0.021,3963.0,2061.0,1.0
innovations[2136],0.283,0.98,-1.382,2.341,0.016,0.019,3941.0,2217.0,1.0
innovations[2137],0.317,0.945,-1.462,2.098,0.014,0.017,4262.0,2031.0,1.0
innovations[2138],0.409,0.932,-1.307,2.208,0.017,0.018,3131.0,2063.0,1.0
innovations[2139],0.446,0.952,-1.448,2.174,0.015,0.019,3785.0,1976.0,1.0
innovations[2140],0.528,0.981,-1.4,2.244,0.015,0.023,4007.0,1878.0,1.0
innovations[2141],0.629,0.965,-1.192,2.439,0.017,0.018,3273.0,2109.0,1.0
innovations[2142],0.738,0.989,-1.04,2.676,0.016,0.019,3888.0,2270.0,1.0
innovations[2143],0.873,0.954,-0.926,2.565,0.015,0.018,3843.0,1943.0,1.0
innovations[2144],1.094,0.946,-0.696,2.766,0.015,0.02,4186.0,2238.0,1.0
innovations[2145],1.387,0.924,-0.324,3.139,0.015,0.018,3994.0,2224.0,1.0
innovations[2146],0.439,0.926,-1.231,2.188,0.014,0.017,4182.0,2568.0,1.0
innovations[2147],-0.404,0.924,-2.123,1.321,0.014,0.019,4280.0,2253.0,1.0
innovations[2148],-0.635,0.904,-2.325,1.037,0.014,0.018,4474.0,2277.0,1.0
innovations[2149],-0.613,0.905,-2.266,1.046,0.014,0.016,3926.0,2439.0,1.0
innovations[2150],-1.058,0.934,-2.78,0.7,0.015,0.018,4065.0,2425.0,1.0
innovations[2151],-0.788,0.988,-2.636,1.067,0.015,0.018,4359.0,2276.0,1.0
innovations[2152],-0.619,0.949,-2.287,1.242,0.014,0.018,4338.0,2483.0,1.0
innovations[2153],-0.489,0.959,-2.286,1.249,0.016,0.018,3773.0,2271.0,1.0
innovations[2154],-0.404,0.99,-2.313,1.32,0.015,0.024,4033.0,2054.0,1.0
innovations[2155],-0.26,0.999,-2.215,1.579,0.015,0.021,4164.0,2170.0,1.0
innovations[2156],-0.206,0.998,-2.093,1.626,0.014,0.021,4895.0,2279.0,1.0
innovations[2157],-0.084,0.973,-1.957,1.694,0.015,0.021,4027.0,2256.0,1.0
innovations[2158],0.345,0.873,-1.283,1.954,0.016,0.016,3145.0,2296.0,1.0
innovations[2159],-0.035,0.885,-1.699,1.614,0.015,0.017,3376.0,2103.0,1.0
innovations[2160],-0.051,0.858,-1.574,1.605,0.015,0.019,3423.0,1759.0,1.0
innovations[2161],-0.057,0.847,-1.719,1.491,0.013,0.02,4075.0,1696.0,1.0
innovations[2162],-0.42,0.858,-2.099,1.172,0.013,0.017,4160.0,2109.0,1.0
innovations[2163],-0.305,0.854,-1.881,1.295,0.014,0.016,3868.0,2328.0,1.0
innovations[2164],-0.19,0.842,-1.811,1.322,0.013,0.016,3942.0,2381.0,1.0
innovations[2165],-0.185,0.874,-1.811,1.408,0.015,0.016,3367.0,2349.0,1.0
innovations[2166],-0.185,0.876,-1.762,1.518,0.014,0.017,3664.0,2281.0,1.0
innovations[2167],0.077,0.892,-1.635,1.71,0.015,0.016,3416.0,2185.0,1.0
innovations[2168],-0.319,0.904,-2.014,1.379,0.016,0.017,3235.0,2049.0,1.0
innovations[2169],-0.389,0.912,-2.061,1.351,0.016,0.018,3398.0,2110.0,1.0
innovations[2170],-0.237,0.89,-1.93,1.423,0.015,0.017,3461.0,2217.0,1.0
innovations[2171],-0.059,0.903,-1.65,1.702,0.016,0.017,3325.0,2245.0,1.0
innovations[2172],0.023,0.914,-1.675,1.742,0.014,0.017,4054.0,2111.0,1.0
innovations[2173],-0.179,0.877,-1.741,1.559,0.014,0.016,3809.0,2415.0,1.0
innovations[2174],-0.439,0.892,-2.163,1.191,0.015,0.015,3408.0,2091.0,1.0
innovations[2175],-0.432,0.914,-2.141,1.321,0.014,0.018,4230.0,2051.0,1.0
innovations[2176],-0.419,0.928,-2.306,1.214,0.014,0.017,4162.0,2324.0,1.0
innovations[2177],-0.122,0.922,-1.954,1.464,0.015,0.017,3842.0,2267.0,1.0
innovations[2178],0.159,0.897,-1.49,1.887,0.015,0.018,3587.0,1934.0,1.0
innovations[2179],0.094,0.902,-1.515,1.782,0.015,0.015,3478.0,2275.0,1.0
innovations[2180],-0.3,0.906,-1.951,1.362,0.014,0.019,4047.0,1693.0,1.0
innovations[2181],-0.341,0.955,-2.081,1.49,0.014,0.018,4531.0,2096.0,1.0
innovations[2182],-0.107,0.918,-1.818,1.535,0.014,0.019,4248.0,2177.0,1.0
innovations[2183],-0.241,0.953,-1.98,1.647,0.016,0.018,3627.0,2154.0,1.0
innovations[2184],-0.373,0.946,-2.09,1.384,0.016,0.017,3489.0,2319.0,1.0
innovations[2185],-0.196,0.947,-1.936,1.589,0.015,0.021,4199.0,1895.0,1.0
innovations[2186],-0.319,0.953,-2.196,1.369,0.017,0.021,3245.0,1783.0,1.0
innovations[2187],-0.523,0.926,-2.325,1.157,0.014,0.019,4262.0,1920.0,1.0
innovations[2188],-0.41,0.92,-2.281,1.212,0.014,0.019,4218.0,1983.0,1.0
innovations[2189],-0.245,1.005,-2.257,1.515,0.017,0.018,3591.0,2226.0,1.0
innovations[2190],-0.528,0.926,-2.23,1.263,0.016,0.018,3224.0,2064.0,1.0
innovations[2191],-0.436,0.931,-2.099,1.35,0.015,0.019,3856.0,1884.0,1.0
innovations[2192],-0.344,0.974,-2.211,1.399,0.015,0.018,4230.0,2586.0,1.0
innovations[2193],-0.238,0.956,-1.958,1.604,0.015,0.022,4110.0,1981.0,1.0
innovations[2194],-0.199,0.983,-2.135,1.48,0.016,0.019,3773.0,1833.0,1.0
innovations[2195],-0.119,0.925,-1.823,1.637,0.014,0.017,4551.0,2276.0,1.0
innovations[2196],-0.04,0.922,-1.831,1.65,0.015,0.016,3601.0,2582.0,1.0
innovations[2197],-0.031,0.958,-1.707,1.855,0.014,0.018,4422.0,2245.0,1.0
innovations[2198],0.064,0.963,-1.653,1.931,0.014,0.018,4490.0,2444.0,1.0
innovations[2199],0.111,0.975,-1.638,2.018,0.015,0.02,4241.0,2236.0,1.0
innovations[2200],-0.198,0.957,-1.983,1.545,0.015,0.018,3968.0,2075.0,1.0
innovations[2201],-0.132,0.982,-1.887,1.856,0.016,0.021,3883.0,2236.0,1.0
innovations[2202],-0.037,0.981,-2.012,1.683,0.017,0.02,3165.0,2078.0,1.0
innovations[2203],-0.042,0.982,-1.864,1.783,0.016,0.019,3799.0,2118.0,1.0
innovations[2204],0.079,0.94,-1.717,1.822,0.015,0.017,3935.0,2025.0,1.0
innovations[2205],0.089,0.958,-1.841,1.731,0.016,0.018,3743.0,2149.0,1.0
innovations[2206],0.192,0.98,-1.651,2.028,0.015,0.019,4058.0,2115.0,1.0
innovations[2207],0.219,0.987,-1.678,2.055,0.015,0.019,4324.0,2383.0,1.0
innovations[2208],-0.055,0.979,-1.885,1.861,0.016,0.02,3829.0,2236.0,1.0
innovations[2209],0.03,0.965,-1.79,1.776,0.017,0.018,3352.0,2165.0,1.0
innovations[2210],-0.282,0.964,-1.937,1.626,0.015,0.019,3877.0,2455.0,1.0
innovations[2211],-0.225,0.952,-1.882,1.641,0.017,0.016,3018.0,2169.0,1.0
innovations[2212],-0.188,1.009,-2.077,1.688,0.016,0.019,4094.0,2347.0,1.0
innovations[2213],-0.11,0.946,-2.002,1.537,0.015,0.018,4159.0,2217.0,1.0
innovations[2214],-0.076,0.953,-1.886,1.738,0.016,0.018,3622.0,2011.0,1.0
innovations[2215],-0.005,0.977,-1.833,1.832,0.015,0.017,4127.0,2307.0,1.0
innovations[2216],0.051,0.936,-1.665,1.851,0.015,0.019,3751.0,1894.0,1.0
innovations[2217],0.09,0.985,-1.663,1.981,0.015,0.02,4308.0,2124.0,1.0
innovations[2218],0.148,0.984,-1.56,2.126,0.016,0.019,3982.0,2244.0,1.0
innovations[2219],0.19,0.961,-1.588,2.035,0.015,0.018,4013.0,2088.0,1.0
innovations[2220],0.231,1.001,-1.687,2.001,0.016,0.019,3906.0,2374.0,1.0
innovations[2221],0.313,0.954,-1.613,2.059,0.017,0.019,3197.0,2163.0,1.0
innovations[2222],0.365,0.945,-1.323,2.226,0.015,0.02,3944.0,1872.0,1.0
innovations[2223],0.483,0.966,-1.157,2.444,0.018,0.017,3013.0,2257.0,1.0
innovations[2224],0.547,0.925,-1.185,2.292,0.016,0.018,3406.0,2151.0,1.0
innovations[2225],0.654,0.928,-1.096,2.405,0.013,0.018,4773.0,2276.0,1.0
innovations[2226],0.802,0.933,-0.857,2.646,0.016,0.015,3352.0,2286.0,1.0
innovations[2227],0.947,0.921,-0.648,2.79,0.015,0.016,3731.0,2280.0,1.0
innovations[2228],1.192,0.941,-0.457,3.05,0.015,0.017,3943.0,2395.0,1.0
innovations[2229],1.547,0.909,-0.207,3.182,0.013,0.019,4850.0,1962.0,1.0
innovations[2230],2.102,0.867,0.504,3.756,0.013,0.018,4359.0,1972.0,1.0
innovations[2231],3.276,0.805,1.801,4.826,0.014,0.015,3242.0,2002.0,1.0
innovations[2232],0.683,0.721,-0.651,2.103,0.013,0.014,3246.0,2203.0,1.0
innovations[2233],-0.946,0.733,-2.312,0.383,0.013,0.012,3049.0,2601.0,1.0
innovations[2234],-1.389,0.757,-2.842,-0.004,0.013,0.014,3440.0,2023.0,1.0
innovations[2235],-1.028,0.828,-2.458,0.642,0.013,0.017,4354.0,2076.0,1.0
innovations[2236],-0.973,0.848,-2.578,0.671,0.015,0.015,3106.0,2289.0,1.0
innovations[2237],-0.969,0.885,-2.682,0.665,0.015,0.018,3621.0,1649.0,1.0
innovations[2238],-1.253,0.9,-2.847,0.521,0.015,0.019,3644.0,2022.0,1.0
innovations[2239],-0.754,0.927,-2.446,1.024,0.015,0.018,3692.0,2330.0,1.0
innovations[2240],-0.354,0.92,-2.134,1.346,0.015,0.017,3734.0,2395.0,1.0
innovations[2241],-0.12,1.016,-2.027,1.74,0.016,0.02,3865.0,2157.0,1.0
innovations[2242],-0.084,0.978,-2.125,1.568,0.014,0.018,4554.0,2175.0,1.0
innovations[2243],-0.105,1.031,-2.028,1.884,0.016,0.021,4313.0,2132.0,1.0
innovations[2244],-0.073,1.029,-2.109,1.795,0.016,0.022,4305.0,2226.0,1.0
innovations[2245],-0.089,0.963,-1.874,1.695,0.015,0.016,3943.0,2103.0,1.0
innovations[2246],-0.053,0.98,-1.931,1.714,0.015,0.018,4079.0,1974.0,1.0
innovations[2247],-0.045,0.971,-1.894,1.753,0.016,0.018,3894.0,2103.0,1.0
innovations[2248],-0.032,1.01,-1.986,1.867,0.018,0.019,3223.0,2011.0,1.0
innovations[2249],-0.009,0.973,-1.905,1.746,0.016,0.02,3927.0,1954.0,1.0
innovations[2250],-0.044,0.976,-1.843,1.796,0.014,0.019,4604.0,2112.0,1.0
innovations[2251],0.006,1.006,-1.878,1.832,0.014,0.024,5112.0,1518.0,1.0
innovations[2252],-0.012,0.973,-1.877,1.776,0.015,0.018,4331.0,2280.0,1.0
innovations[2253],0.004,1.006,-1.886,1.901,0.014,0.019,4842.0,2287.0,1.0
innovations[2254],0.007,0.999,-1.884,1.772,0.017,0.018,3707.0,2217.0,1.0
innovations[2255],0.036,0.973,-1.837,1.754,0.015,0.02,4177.0,2181.0,1.0
innovations[2256],-0.003,0.969,-1.83,1.78,0.016,0.019,3761.0,2064.0,1.0
innovations[2257],0.028,1.003,-1.905,1.859,0.014,0.022,5116.0,2115.0,1.0
innovations[2258],0.033,0.966,-1.714,1.912,0.015,0.02,4064.0,2254.0,1.0
innovations[2259],0.071,0.987,-1.755,1.896,0.016,0.017,3855.0,2273.0,1.0
innovations[2260],0.056,0.988,-1.74,1.917,0.016,0.018,3814.0,2297.0,1.0
innovations[2261],0.077,1.016,-1.88,1.926,0.016,0.02,3812.0,2154.0,1.0
innovations[2262],0.08,0.988,-1.626,2.095,0.015,0.02,4549.0,2100.0,1.0
innovations[2263],0.109,0.984,-1.807,1.872,0.016,0.019,3934.0,2188.0,1.0
innovations[2264],0.098,0.986,-1.678,1.993,0.015,0.018,4365.0,2183.0,1.0
innovations[2265],0.109,0.97,-1.732,1.837,0.016,0.019,3820.0,1944.0,1.0
innovations[2266],0.097,0.985,-1.681,1.978,0.015,0.022,4125.0,1995.0,1.0
innovations[2267],0.104,0.985,-1.813,1.912,0.016,0.022,3583.0,1714.0,1.0
innovations[2268],0.107,0.978,-1.785,1.915,0.016,0.022,3567.0,2088.0,1.0
innovations[2269],0.129,1.006,-1.75,2.036,0.017,0.019,3570.0,2226.0,1.0
innovations[2270],0.126,0.998,-1.81,1.916,0.016,0.02,3896.0,2297.0,1.0
innovations[2271],0.141,0.954,-1.72,1.805,0.015,0.017,4106.0,2276.0,1.0
innovations[2272],0.128,1.003,-1.87,1.871,0.016,0.021,3777.0,2160.0,1.0
innovations[2273],0.173,1.001,-1.6,2.117,0.014,0.021,4865.0,1972.0,1.0
innovations[2274],0.175,0.965,-1.596,1.947,0.015,0.017,4415.0,2219.0,1.0
innovations[2275],0.195,0.957,-1.644,1.98,0.015,0.018,4049.0,2199.0,1.0
innovations[2276],0.207,0.997,-1.646,1.992,0.015,0.019,4678.0,2537.0,1.0
innovations[2277],0.222,1.014,-1.667,2.127,0.018,0.022,3349.0,2003.0,1.0
innovations[2278],0.205,0.969,-1.532,2.113,0.015,0.018,4259.0,2135.0,1.0
innovations[2279],0.262,0.991,-1.669,2.03,0.015,0.018,4104.0,2210.0,1.0
innovations[2280],0.279,0.971,-1.404,2.211,0.016,0.02,3663.0,2260.0,1.0
innovations[2281],0.272,0.965,-1.581,2.051,0.014,0.017,4564.0,2467.0,1.0
innovations[2282],0.294,0.958,-1.561,1.98,0.015,0.019,4344.0,2345.0,1.0
innovations[2283],0.327,1.007,-1.474,2.285,0.016,0.031,4076.0,1358.0,1.0
innovations[2284],0.332,0.974,-1.448,2.233,0.015,0.017,4414.0,2330.0,1.0
innovations[2285],0.357,0.999,-1.529,2.196,0.017,0.02,3460.0,2116.0,1.0
innovations[2286],0.415,0.982,-1.425,2.249,0.015,0.02,4258.0,2129.0,1.0
innovations[2287],0.087,0.988,-1.67,1.992,0.017,0.018,3556.0,2275.0,1.0
innovations[2288],-0.199,0.995,-2.007,1.739,0.014,0.021,5005.0,1930.0,1.0
innovations[2289],-0.182,0.975,-1.947,1.647,0.014,0.018,5241.0,2412.0,1.0
innovations[2290],-0.151,0.962,-1.968,1.631,0.018,0.02,2795.0,1787.0,1.0
innovations[2291],-0.133,0.977,-1.981,1.65,0.015,0.023,4239.0,1938.0,1.0
innovations[2292],-0.112,0.987,-1.935,1.729,0.016,0.017,4044.0,2257.0,1.0
innovations[2293],-0.068,0.947,-1.891,1.628,0.016,0.016,3600.0,2094.0,1.0
innovations[2294],-0.058,0.984,-1.83,1.846,0.015,0.025,4387.0,1948.0,1.0
innovations[2295],-0.003,0.998,-1.795,1.926,0.016,0.019,3873.0,1916.0,1.0
innovations[2296],0.007,0.954,-1.886,1.681,0.014,0.017,4376.0,2222.0,1.0
innovations[2297],0.034,0.974,-1.757,1.867,0.017,0.019,3460.0,2264.0,1.0
innovations[2298],0.074,0.99,-1.814,1.858,0.016,0.019,3758.0,2032.0,1.0
innovations[2299],0.088,0.953,-1.667,1.829,0.016,0.02,3482.0,1698.0,1.0
innovations[2300],0.104,0.984,-1.745,1.991,0.015,0.019,4343.0,2329.0,1.0
innovations[2301],0.165,1.0,-1.705,2.044,0.016,0.02,4166.0,2180.0,1.0
innovations[2302],0.186,0.975,-1.554,2.123,0.017,0.02,3412.0,1892.0,1.0
innovations[2303],0.248,0.984,-1.454,2.201,0.015,0.018,4386.0,2264.0,1.0
innovations[2304],0.25,0.96,-1.522,2.036,0.015,0.02,4115.0,2179.0,1.0
innovations[2305],0.319,0.942,-1.5,2.019,0.014,0.017,4279.0,2313.0,1.0
innovations[2306],0.321,0.984,-1.584,2.161,0.017,0.018,3395.0,2056.0,1.0
innovations[2307],0.379,0.983,-1.514,2.143,0.015,0.018,4243.0,2271.0,1.0
innovations[2308],0.453,0.932,-1.296,2.157,0.015,0.017,3693.0,2205.0,1.0
innovations[2309],0.47,0.963,-1.335,2.292,0.014,0.018,4546.0,2346.0,1.0
innovations[2310],0.521,0.96,-1.226,2.341,0.015,0.018,4374.0,2310.0,1.0
innovations[2311],0.641,0.953,-1.268,2.356,0.014,0.019,4685.0,1966.0,1.0
innovations[2312],-0.306,0.977,-2.036,1.673,0.015,0.021,4504.0,1892.0,1.0
innovations[2313],-0.545,0.951,-2.306,1.245,0.016,0.017,3710.0,2472.0,1.0
innovations[2314],-0.475,0.943,-2.079,1.396,0.016,0.017,3518.0,2109.0,1.0
innovations[2315],-0.411,0.993,-2.246,1.471,0.015,0.021,4376.0,1940.0,1.0
innovations[2316],-0.359,0.96,-2.202,1.375,0.015,0.018,4101.0,2350.0,1.0
innovations[2317],-0.307,0.995,-2.158,1.509,0.017,0.018,3283.0,1908.0,1.0
innovations[2318],-0.244,0.968,-2.099,1.517,0.015,0.018,4267.0,2214.0,1.0
innovations[2319],-0.208,0.964,-2.185,1.431,0.016,0.018,3557.0,2269.0,1.0
innovations[2320],-0.173,0.985,-1.838,1.753,0.016,0.02,3735.0,2160.0,1.0
innovations[2321],-0.077,1.001,-1.904,1.721,0.016,0.02,4112.0,1784.0,1.0
innovations[2322],-0.077,1.004,-1.933,1.808,0.014,0.019,4963.0,2201.0,1.0
innovations[2323],-0.08,0.974,-1.841,1.816,0.015,0.017,4001.0,2253.0,1.0
innovations[2324],0.296,0.886,-1.408,1.902,0.017,0.016,2658.0,2061.0,1.0
innovations[2325],-0.075,0.885,-1.758,1.517,0.015,0.016,3438.0,1921.0,1.0
innovations[2326],0.228,0.852,-1.313,1.909,0.014,0.016,3874.0,1882.0,1.0
innovations[2327],-0.094,0.852,-1.72,1.417,0.016,0.015,2970.0,2074.0,1.0
innovations[2328],0.239,0.849,-1.337,1.806,0.014,0.018,3655.0,1927.0,1.0
innovations[2329],0.006,0.832,-1.507,1.562,0.013,0.018,4051.0,1942.0,1.0
innovations[2330],-0.592,0.852,-2.202,1.054,0.015,0.017,3369.0,2170.0,1.0
innovations[2331],-0.373,0.882,-2.057,1.282,0.015,0.019,3733.0,1601.0,1.0
innovations[2332],-0.256,0.867,-1.998,1.263,0.014,0.02,3745.0,2209.0,1.0
innovations[2333],-0.197,0.892,-1.819,1.496,0.015,0.017,3487.0,2044.0,1.0
innovations[2334],-0.236,0.861,-1.759,1.466,0.016,0.015,3019.0,2178.0,1.0
innovations[2335],-0.26,0.873,-1.921,1.326,0.014,0.015,3655.0,2344.0,1.0
innovations[2336],-0.009,0.875,-1.584,1.657,0.014,0.017,3805.0,2189.0,1.0
innovations[2337],-0.478,0.868,-2.1,1.157,0.014,0.016,3921.0,2294.0,1.0
innovations[2338],0.014,0.925,-1.835,1.64,0.014,0.017,4545.0,2413.0,1.0
innovations[2339],-0.193,0.927,-1.828,1.591,0.015,0.017,4187.0,2278.0,1.0
innovations[2340],-0.06,0.892,-1.755,1.634,0.015,0.018,3714.0,2030.0,1.0
innovations[2341],0.053,0.88,-1.65,1.696,0.016,0.016,3146.0,2169.0,1.0
innovations[2342],-0.169,0.92,-1.813,1.579,0.014,0.017,4062.0,2014.0,1.0
innovations[2343],-0.069,0.908,-1.769,1.691,0.015,0.021,3914.0,1731.0,1.0
innovations[2344],0.022,0.929,-1.764,1.696,0.016,0.017,3329.0,2166.0,1.0
innovations[2345],0.095,0.885,-1.547,1.758,0.014,0.017,3755.0,2159.0,1.0
innovations[2346],-0.117,0.911,-1.808,1.615,0.018,0.017,2695.0,1933.0,1.0
innovations[2347],-0.392,0.873,-2.077,1.17,0.014,0.017,3983.0,2477.0,1.0
innovations[2348],-0.007,0.885,-1.67,1.621,0.015,0.017,3695.0,1967.0,1.0
innovations[2349],-0.339,0.929,-2.101,1.339,0.014,0.016,4214.0,2271.0,1.0
innovations[2350],0.002,0.913,-1.688,1.754,0.015,0.019,3886.0,2203.0,1.0
innovations[2351],0.357,0.909,-1.268,2.098,0.016,0.017,3427.0,1908.0,1.0
innovations[2352],0.353,0.887,-1.275,2.023,0.015,0.017,3743.0,2112.0,1.0
innovations[2353],0.078,0.886,-1.631,1.659,0.014,0.016,3971.0,1887.0,1.0
innovations[2354],0.227,0.915,-1.419,1.977,0.016,0.016,3131.0,2384.0,1.0
innovations[2355],0.011,0.883,-1.642,1.634,0.014,0.016,4214.0,2423.0,1.0
innovations[2356],0.125,0.888,-1.489,1.785,0.014,0.016,4205.0,2124.0,1.0
innovations[2357],-0.05,0.872,-1.638,1.604,0.014,0.017,3667.0,2158.0,1.0
innovations[2358],0.078,0.868,-1.565,1.666,0.015,0.015,3581.0,2257.0,1.0
innovations[2359],-0.131,0.905,-1.901,1.511,0.014,0.018,3920.0,2215.0,1.0
innovations[2360],-0.338,0.894,-1.978,1.368,0.014,0.018,4292.0,1858.0,1.0
innovations[2361],0.102,0.888,-1.61,1.737,0.014,0.016,4348.0,2411.0,1.0
innovations[2362],-0.13,0.921,-1.833,1.667,0.014,0.017,4049.0,2014.0,1.0
innovations[2363],-0.095,0.901,-1.724,1.585,0.015,0.023,3651.0,1831.0,1.0
innovations[2364],0.314,0.908,-1.442,1.962,0.016,0.017,3140.0,1970.0,1.0
innovations[2365],0.096,0.867,-1.452,1.757,0.015,0.017,3279.0,2065.0,1.0
innovations[2366],-0.125,0.885,-1.862,1.468,0.016,0.019,3270.0,1967.0,1.0
innovations[2367],-0.026,0.875,-1.74,1.602,0.016,0.018,3134.0,1783.0,1.0
innovations[2368],0.096,0.904,-1.531,1.826,0.015,0.016,3775.0,2402.0,1.0
innovations[2369],0.214,0.892,-1.523,1.795,0.015,0.019,3581.0,2216.0,1.0
innovations[2370],-0.022,0.873,-1.627,1.65,0.013,0.017,4239.0,2161.0,1.0
innovations[2371],-0.231,0.874,-1.877,1.356,0.014,0.018,3708.0,2288.0,1.0
innovations[2372],-0.455,0.887,-2.099,1.213,0.014,0.017,3786.0,2264.0,1.0
innovations[2373],-0.389,0.904,-2.073,1.304,0.015,0.016,3683.0,2294.0,1.0
innovations[2374],-0.73,0.901,-2.443,0.909,0.015,0.016,3819.0,2245.0,1.0
innovations[2375],-0.467,0.912,-2.099,1.27,0.015,0.016,3611.0,2370.0,1.0
innovations[2376],-0.294,0.94,-2.021,1.461,0.016,0.019,3544.0,2163.0,1.0
innovations[2377],-0.037,0.893,-1.637,1.662,0.015,0.016,3521.0,2156.0,1.0
innovations[2378],-0.206,0.904,-1.834,1.511,0.015,0.016,3752.0,2298.0,1.0
innovations[2379],-0.345,0.912,-2.084,1.305,0.015,0.017,3661.0,2273.0,1.0
innovations[2380],-0.179,0.942,-1.914,1.609,0.016,0.016,3531.0,2220.0,1.0
innovations[2381],-0.005,0.918,-1.609,1.882,0.015,0.017,3681.0,2276.0,1.0
innovations[2382],-0.178,0.928,-1.86,1.593,0.014,0.016,4270.0,2039.0,1.0
innovations[2383],-0.053,0.959,-1.814,1.802,0.016,0.021,3777.0,2079.0,1.0
innovations[2384],0.095,0.953,-1.701,1.861,0.016,0.019,3442.0,1992.0,1.0
innovations[2385],0.282,0.972,-1.559,2.053,0.015,0.02,3957.0,2177.0,1.0
innovations[2386],0.454,0.949,-1.439,2.205,0.015,0.017,3886.0,2239.0,1.0
innovations[2387],0.296,0.931,-1.377,2.059,0.014,0.017,4191.0,2325.0,1.0
innovations[2388],-0.199,0.908,-1.926,1.468,0.014,0.017,4088.0,2230.0,1.0
innovations[2389],0.024,0.934,-1.73,1.788,0.015,0.017,4018.0,2403.0,1.0
innovations[2390],0.221,0.924,-1.548,1.879,0.015,0.019,3694.0,1776.0,1.0
innovations[2391],0.457,0.951,-1.263,2.268,0.017,0.018,3271.0,2183.0,1.0
innovations[2392],0.4,0.921,-1.298,2.157,0.016,0.015,3342.0,2397.0,1.0
innovations[2393],0.659,0.884,-1.002,2.256,0.016,0.016,3249.0,2042.0,1.0
innovations[2394],0.678,0.909,-1.009,2.36,0.015,0.016,3443.0,2483.0,1.0
innovations[2395],0.797,0.901,-0.946,2.455,0.015,0.018,3655.0,2008.0,1.0
innovations[2396],0.359,0.89,-1.362,1.997,0.014,0.017,3803.0,2086.0,1.0
innovations[2397],0.013,0.876,-1.619,1.66,0.014,0.016,3701.0,2239.0,1.0
innovations[2398],-0.009,0.887,-1.666,1.631,0.014,0.017,3837.0,2228.0,1.0
innovations[2399],-0.024,0.872,-1.749,1.515,0.014,0.017,4140.0,2300.0,1.0
