sim_id,variable,rank,true_value,post_mean,post_sd,prior_sd,max_rank
0,Intercept,504,1.6309723271766259,1.629821363425671,0.33965130485244943,0.70006430123199,999
0,mean_phase_effect,661,0.3300932891302052,0.3017606788833096,0.24671917825615353,0.8375240293921878,999
0,sigma_log_phase,26,0.020397706587358167,0.4017509212802892,0.2958268063973532,0.3166328093260116,999
0,sigma_level,498,0.31362359168493636,0.31716472345083874,0.04240581626917444,0.15071865054366834,999
0,alpha,567,4.843888203313488,4.858478194002346,1.2464071819041744,5.402965186897857,999
1,Intercept,498,2.6709546182565407,2.673275203519279,0.286955800772351,0.70006430123199,999
1,mean_phase_effect,815,0.556417999184875,0.3617569450596052,0.25476780289349427,0.8375240293921878,999
1,sigma_log_phase,786,0.6461458015327948,0.40060024897471974,0.3085572607062972,0.3166328093260116,999
1,sigma_level,195,0.15157236003297653,0.16895657520054516,0.020352721976155296,0.15071865054366834,999
1,alpha,647,9.14148592080249,8.773517459467753,1.2039620913906286,5.402965186897857,999
2,Intercept,185,1.3891015701110705,1.7102842425679374,0.36310200570585865,0.70006430123199,999
2,mean_phase_effect,791,0.4226458073006182,0.2783405074444729,0.2217941327559081,0.8375240293921878,999
2,sigma_log_phase,738,0.5530249456553652,0.39355405789845377,0.29043063578303163,0.3166328093260116,999
2,sigma_level,874,0.33504439934985686,0.28305950765538734,0.045519602947218886,0.15071865054366834,999
2,alpha,347,2.2874026224679436,2.5803310968883757,0.5670653358320977,5.402965186897857,999
3,Intercept,755,1.6203737959524513,1.3853280863275608,0.35186505238632065,0.70006430123199,999
3,mean_phase_effect,344,0.17259550352823191,0.3077520109259821,0.24572542980199935,0.8375240293921878,999
3,sigma_log_phase,670,0.4846183459469698,0.3888988865238447,0.29490398116614497,0.3166328093260116,999
3,sigma_level,634,0.26728433294762916,0.25627753808614484,0.04425100178142496,0.15071865054366834,999
3,alpha,547,1.386318738240355,1.4021883802165453,0.2523700861603877,5.402965186897857,999
4,Intercept,888,1.8271232886768674,1.420929485360659,0.32514468897787885,0.70006430123199,999
4,mean_phase_effect,533,0.40371333043197355,0.4677644304589435,0.35170675950476527,0.8375240293921878,999
4,sigma_log_phase,45,0.028226182683794915,0.37719122099727387,0.2767857887713186,0.3166328093260116,999
4,sigma_level,974,0.3358681065363089,0.27303481963192017,0.03273614822603108,0.15071865054366834,999
4,alpha,648,16.328190991522398,15.629003321925586,4.604618878996653,5.402965186897857,999
5,Intercept,539,1.333842502601368,1.3061306889781537,0.4763530758410886,0.70006430123199,999
5,mean_phase_effect,886,1.3834419516224656,0.6660287925118642,0.586758435424381,0.8375240293921878,999
5,sigma_log_phase,687,0.6588425255711112,0.5102369904435695,0.3572181471799294,0.3166328093260116,999
5,sigma_level,453,0.5717949738133978,0.5884501255576897,0.08421925924018511,0.15071865054366834,999
5,alpha,428,0.850334779957101,0.8833345891306003,0.12833681761885732,5.402965186897857,999
6,Intercept,967,1.977802113826936,1.0330659193345855,0.5195711612665456,0.70006430123199,999
6,mean_phase_effect,436,0.5835192916888823,0.910841066481652,0.7924631627142388,0.8375240293921878,999
6,sigma_log_phase,901,0.803250122130856,0.3713659071285492,0.31018284305936294,0.3166328093260116,999
6,sigma_level,33,0.23379206024179466,0.3973864526001999,0.09833143370955012,0.15071865054366834,999
6,alpha,888,0.2561717016747604,0.21230298535988334,0.03583003993018782,5.402965186897857,999
7,Intercept,888,2.4626278306755047,1.9929670246276288,0.3713915183338165,0.70006430123199,999
7,mean_phase_effect,438,0.19805786535121714,0.2954118412750905,0.25138091583360017,0.8375240293921878,999
7,sigma_log_phase,72,0.04768223149710644,0.3850045234131064,0.2927049802869809,0.3166328093260116,999
7,sigma_level,915,0.38160706665538646,0.3151699760525946,0.04973870181572209,0.15071865054366834,999
7,alpha,136,0.7690122837905695,0.870767334472886,0.09534162503529556,5.402965186897857,999
8,Intercept,546,1.0915298891767364,1.0644692968530585,0.2688639297764601,0.70006430123199,999
8,mean_phase_effect,750,0.39246470618344037,0.30182542451362565,0.22189855216086424,0.8375240293921878,999
8,sigma_log_phase,890,0.7833579155853819,0.3659922138093624,0.30807041377670735,0.3166328093260116,999
8,sigma_level,21,0.0013368176978034703,0.026140953501577288,0.016392485321640837,0.15071865054366834,999
8,alpha,945,22.294606312760493,13.546503733536149,4.977890195079994,5.402965186897857,999
9,Intercept,246,2.3105328163551624,2.561489166878106,0.36601182702166934,0.70006430123199,999
9,mean_phase_effect,523,0.25099987250427397,0.3091096011970783,0.244855933175293,0.8375240293921878,999
9,sigma_log_phase,490,0.3138108853241992,0.37895584869530646,0.2942992654080217,0.3166328093260116,999
9,sigma_level,194,0.28387289905828517,0.3292436100017236,0.05149185595514435,0.15071865054366834,999
9,alpha,223,0.8333530274675373,0.9087227172566531,0.10056086557849407,5.402965186897857,999
10,Intercept,645,1.9291046937241505,1.72386475507929,0.5148120717331992,0.70006430123199,999
10,mean_phase_effect,605,0.8305702839192007,0.8591991818657366,0.7526575069060946,0.8375240293921878,999
10,sigma_log_phase,680,0.49777402624980277,0.40369010455708143,0.2994554324765767,0.3166328093260116,999
10,sigma_level,166,0.3838618934921617,0.462309590306261,0.0806702423001943,0.15071865054366834,999
10,alpha,587,0.29149368224769834,0.2854640140589507,0.03473735292118974,5.402965186897857,999
11,Intercept,476,1.5595309520404426,1.5855554017161613,0.29935054693603985,0.70006430123199,999
11,mean_phase_effect,472,0.3429414173446874,0.43355369267944127,0.29731151340242223,0.8375240293921878,999
11,sigma_log_phase,141,0.08269832584426746,0.3739914885983121,0.2868372765493056,0.3166328093260116,999
11,sigma_level,768,0.12522673392444642,0.11031392278981167,0.02149060060062106,0.15071865054366834,999
11,alpha,989,41.4787683403993,21.856286903993052,6.483803020231986,5.402965186897857,999
12,Intercept,222,1.2957664349134093,1.552771988555542,0.32993111324034435,0.70006430123199,999
12,mean_phase_effect,113,0.12344052034597867,0.5135056811304616,0.39746067286519665,0.8375240293921878,999
12,sigma_log_phase,117,0.0676947913920743,0.37167310932024566,0.2829815426981953,0.3166328093260116,999
12,sigma_level,539,0.09071429161560943,0.09076319538783868,0.031456997259963836,0.15071865054366834,999
12,alpha,68,0.6824276887878605,0.798272384085884,0.08285319497452986,5.402965186897857,999
13,Intercept,128,-0.016395142340957198,0.40199295512102196,0.35951783607906856,0.70006430123199,999
13,mean_phase_effect,259,0.13962918758925816,0.3121983569559486,0.24915775721988784,0.8375240293921878,999
13,sigma_log_phase,574,0.40298062446995586,0.38835079243976484,0.28038115333461067,0.3166328093260116,999
13,sigma_level,288,0.33726742397734955,0.3680649164217192,0.04981178286661865,0.15071865054366834,999
13,alpha,66,3.456117428140377,5.552213713293751,1.7114379955699075,5.402965186897857,999
14,Intercept,653,1.9503581370267125,1.8514794917251993,0.3123996294490374,0.70006430123199,999
14,mean_phase_effect,314,0.2833828819744401,0.5296845816891791,0.39709360423891954,0.8375240293921878,999
14,sigma_log_phase,803,0.6204004295598183,0.3837286923156649,0.30166921007465347,0.3166328093260116,999
14,sigma_level,249,0.0411290994198199,0.07951413421406929,0.052288644449431355,0.15071865054366834,999
14,alpha,373,0.20094101257587232,0.20807842745715377,0.02106682603129123,5.402965186897857,999
15,Intercept,315,1.8054146319889595,1.964317101115338,0.3446316194673137,0.70006430123199,999
15,mean_phase_effect,624,0.44134729631763053,0.4387152079657858,0.3381537302500514,0.8375240293921878,999
15,sigma_log_phase,273,0.16489405347137842,0.3797806037339248,0.2854946735014083,0.3166328093260116,999
15,sigma_level,634,0.395052348042728,0.38216670425616356,0.03844019388607557,0.15071865054366834,999
15,alpha,790,7.315248101568539,6.386678746362606,1.2876944147394107,5.402965186897857,999
16,Intercept,480,2.004363125539844,2.012513721676727,0.24682282278947684,0.70006430123199,999
16,mean_phase_effect,254,0.12202301550600261,0.25592873449724474,0.1911196155689912,0.8375240293921878,999
16,sigma_log_phase,306,0.20703941922342312,0.3791322058649032,0.27460117826696884,0.3166328093260116,999
16,sigma_level,312,0.005112800753641246,0.010641335504707484,0.009444298828271334,0.15071865054366834,999
16,alpha,347,9.168647975057787,9.9717634935953,1.7741548565493988,5.402965186897857,999
17,Intercept,498,1.2437743237572916,1.2492683406810434,0.3188015235042621,0.70006430123199,999
17,mean_phase_effect,525,0.30424069707793566,0.3739274814401266,0.30379006149396964,0.8375240293921878,999
17,sigma_log_phase,923,0.8749516520215982,0.41646898636004787,0.2962042947017558,0.3166328093260116,999
17,sigma_level,621,0.10848195905781463,0.09914986084649437,0.035939032384536725,0.15071865054366834,999
17,alpha,74,0.5360247328832883,0.6396495347864627,0.07492702097698038,5.402965186897857,999
18,Intercept,207,1.7770804879940678,1.9770746133038442,0.24980603977444832,0.70006430123199,999
18,mean_phase_effect,512,0.21970099094998968,0.27464659789802365,0.21557060124220176,0.8375240293921878,999
18,sigma_log_phase,812,0.659431053559261,0.3825111169457731,0.2912806374517733,0.3166328093260116,999
18,sigma_level,776,0.024132279416807408,0.01616337818070582,0.013505708137632095,0.15071865054366834,999
18,alpha,272,2.1660678604509878,2.332613761479058,0.275089256487317,5.402965186897857,999
19,Intercept,953,2.4164543656529545,1.9055658579943637,0.2997661352509903,0.70006430123199,999
19,mean_phase_effect,919,0.8819167097503764,0.4170485930373261,0.32393493650199906,0.8375240293921878,999
19,sigma_log_phase,445,0.28572362374263305,0.39475910044645446,0.29407260461150303,0.3166328093260116,999
19,sigma_level,669,0.12156892149101896,0.11506260101022135,0.01790080960597041,0.15071865054366834,999
19,alpha,767,10.38575481641469,9.311101017765875,1.5278189969821894,5.402965186897857,999
20,Intercept,959,2.022155259862351,1.401044425234572,0.3515662040813614,0.70006430123199,999
20,mean_phase_effect,891,1.5033024108253863,0.7916907998458045,0.5294216086708067,0.8375240293921878,999
20,sigma_log_phase,676,0.47837113487492255,0.38547962133629005,0.27400474064356223,0.3166328093260116,999
20,sigma_level,555,0.16988566445689857,0.16729676960652534,0.029150362703119454,0.15071865054366834,999
20,alpha,334,6.899092147252402,7.9645100410122796,1.9103447746283158,5.402965186897857,999
21,Intercept,317,1.0075851549751131,1.1593820789429787,0.32422329053728594,0.70006430123199,999
21,mean_phase_effect,845,0.5709065446824149,0.32529507841594635,0.25306382376346714,0.8375240293921878,999
21,sigma_log_phase,884,0.762486529652019,0.3852920725521543,0.29482890990669447,0.3166328093260116,999
21,sigma_level,984,0.2800026213827547,0.17838216215888633,0.04127168454863795,0.15071865054366834,999
